原始位置,回收数据位置,回收元数据位置,文件数,逻辑字节,回收UTC时间,内容核验
F:\Documents\楚物志\artifacts\ai-speed-tests.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RH9SBGI.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IH9SBGI.log,1,15997,2026-09-17T20:02:56.2420000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-168-analysis.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RC14BM7.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IC14BM7.log,1,23681,2026-09-17T20:02:56.5030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-168-fixed.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R33MNUP.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I33MNUP.json,1,5887,2026-09-17T20:02:56.7860000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-168-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RBC7656.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IBC7656.log,1,24071,2026-09-17T20:02:57.0430000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-168.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R7JSGIG.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I7JSGIG.json,1,13755,2026-09-17T20:02:57.3100000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-168.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RO5KF3E.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IO5KF3E.log,1,99134,2026-09-17T20:02:57.5880000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-224-analysis.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXMP101.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXMP101.log,1,20003,2026-09-17T20:02:57.8530000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-224-fixed.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWXI3O6.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWXI3O6.json,1,6307,2026-09-17T20:02:58.1280000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-224-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMWEXRG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMWEXRG.log,1,30143,2026-09-17T20:02:58.3880000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-224.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZWQ9R2.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZWQ9R2.json,1,17371,2026-09-17T20:02:58.6840000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-224.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNWTJOV.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INWTJOV.log,1,99269,2026-09-17T20:02:59.0040000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-249-check.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RLOTI6E.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ILOTI6E.json,1,5477,2026-09-17T20:02:59.3050000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-249-check.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGLP8R2.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGLP8R2.log,1,22323,2026-09-17T20:02:59.5980000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-r9.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHLZ8EA.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHLZ8EA.json,1,4077,2026-09-17T20:02:59.9030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-r9.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWVM73G.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWVM73G.log,1,13577,2026-09-17T20:03:00.1640000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-regression.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RTNVX35.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ITNVX35.json,1,12939,2026-09-17T20:03:00.4290000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-stall-regression.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R0BNK4Z.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I0BNK4Z.log,1,53624,2026-09-17T20:03:00.7070000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-summary.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNYISIB.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INYISIB.log,1,4507,2026-09-17T20:03:01.0160000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RRUW22P.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IRUW22P.log,1,14737,2026-09-17T20:03:01.3470000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests-final2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNJZ9TC.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INJZ9TC.log,1,15998,2026-09-17T20:03:01.6480000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RI3B18D.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$II3B18D.log,1,9903,2026-09-17T20:03:01.9610000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RA5FXXG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IA5FXXG.log,1,9059,2026-09-17T20:03:02.2740000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests3.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJBYB8Q.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJBYB8Q.log,1,9333,2026-09-17T20:03:02.6450000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests4.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHFNLH6.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHFNLH6.log,1,9449,2026-09-17T20:03:02.9850000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests5.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVEOS3U.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVEOS3U.log,1,14599,2026-09-17T20:03:03.3030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-tests6.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6FDHIC.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6FDHIC.log,1,14670,2026-09-17T20:03:03.5770000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-current-off.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHQJ8NP.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHQJ8NP.json,1,15057,2026-09-17T20:03:03.8870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-current-off.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNEQKWP.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INEQKWP.log,1,50723,2026-09-17T20:03:04.1820000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-current-on.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIK801E.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIK801E.json,1,15011,2026-09-17T20:03:04.4800000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-current-on.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJWV3XP.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJWV3XP.log,1,50677,2026-09-17T20:03:04.7580000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final-off.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RFG0RAL.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IFG0RAL.json,1,15189,2026-09-17T20:03:05.0550000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final-off.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMJ2Q96.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMJ2Q96.log,1,49371,2026-09-17T20:03:05.3970000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final-on.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNHNNWX.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INHNNWX.json,1,15188,2026-09-17T20:03:05.6940000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final-on.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RE876SJ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IE876SJ.log,1,49370,2026-09-17T20:03:05.9280000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJ1AB09.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJ1AB09.json,1,15087,2026-09-17T20:03:06.2090000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RPIGVE7.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IPIGVE7.log,1,48683,2026-09-17T20:03:06.4860000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-pilot.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1XIY3E.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1XIY3E.json,1,5059,2026-09-17T20:03:06.7950000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-pilot.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RRI17AS.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IRI17AS.log,1,224799,2026-09-17T20:03:07.0940000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-pilot2.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R7XBI07.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I7XBI07.json,1,5069,2026-09-17T20:03:07.4650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-pilot2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIOJX7Z.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIOJX7Z.log,1,12397,2026-09-17T20:03:07.7640000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-r14.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RQNUQZ9.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IQNUQZ9.json,1,15056,2026-09-17T20:03:08.0450000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-r14.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1FY19C.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1FY19C.log,1,50722,2026-09-17T20:03:08.3550000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-replay.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RUTVLFF.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IUTVLFF.log,1,23271,2026-09-17T20:03:08.6350000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-verification-final.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RY7J35A.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IY7J35A.json,1,209,2026-09-17T20:03:08.9290000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-trace-verification.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RORCBZH.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IORCBZH.json,1,123,2026-09-17T20:03:09.2250000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-traces,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWB22W1,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWB22W1,20,186559520,2026-09-17T20:03:09.9310000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-unit.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RPX4PO1.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IPX4PO1.log,1,19057,2026-09-17T20:03:10.9530000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-unit2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RQ3PC9U.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IQ3PC9U.log,1,977,2026-09-17T20:03:11.2680000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-unit3.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXUIZS7.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXUIZS7.log,1,1979,2026-09-17T20:03:11.5700000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-validation-power-events.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R303XLG.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I303XLG.json,1,1017,2026-09-17T20:03:11.8850000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-validation-summary.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$ROHG3O0.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IOHG3O0.json,1,4507,2026-09-17T20:03:12.1810000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-validation-tool-update,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RPMM9TD,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IPMM9TD,3,17946,2026-09-17T20:03:12.4520000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\art-brief-before-pixel-20260913.docx,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RUYBNT6.docx,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IUYBNT6.docx,1,9641481,2026-09-17T20:03:13.2250000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\art-brief-concise,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R99YVLK,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I99YVLK,100,44574386,2026-09-17T20:03:13.7460000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\art-brief-current,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1C6TEI,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1C6TEI,37,15132042,2026-09-17T20:03:14.6720000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\aseprite-toolchain,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RSMGDEI,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ISMGDEI,4,2845,2026-09-17T20:03:15.5250000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\audio-native-build.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RYVDEVA.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IYVDEVA.log,1,142933,2026-09-17T20:03:16.3490000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\audit-smoke,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGRCSGM,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGRCSGM,36,137874,2026-09-17T20:03:16.7010000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\audit-smoke-sequential,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJ897OJ,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJ897OJ,8,31348,2026-09-17T20:03:17.4960000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\balance-021,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMU5ODY,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMU5ODY,336,3072017,2026-09-17T20:03:18.5140000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\balance-021-v2,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RG3TEOX,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IG3TEOX,1011,20188595,2026-09-17T20:03:20.1380000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\board-audio,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RG3O7L1,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IG3O7L1,291,26349900,2026-09-17T20:03:21.8510000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\capture-final-console.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RO5CHE9.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IO5CHE9.log,1,2395,2026-09-17T20:03:22.8030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\capture-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R8UWDAK.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I8UWDAK.log,1,2274,2026-09-17T20:03:23.2030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\capture-regression-console.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1UMUAB.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1UMUAB.log,1,34239,2026-09-17T20:03:23.5920000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\capture-regression.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R3VJDDQ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I3VJDDQ.log,1,33288,2026-09-17T20:03:23.8880000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-20260915.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIN8CVX.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIN8CVX.json,1,2840,2026-09-17T20:03:24.1530000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-commit-message.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R18XGXJ.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I18XGXJ.txt,1,617,2026-09-17T20:03:24.4950000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-commit-scope.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RFV9HQX.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IFV9HQX.json,1,1053,2026-09-17T20:03:24.8160000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-diff-check.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RCK51YS.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ICK51YS.txt,1,0,2026-09-17T20:03:25.1610000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-disk-location-audit.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RK82NRU.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IK82NRU.json,1,215581,2026-09-17T20:03:25.5300000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-found-locations.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R0992TX.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I0992TX.json,1,1174,2026-09-17T20:03:25.9700000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-location-scan.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R9EXSAV.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I9EXSAV.py,1,2193,2026-09-17T20:03:26.2680000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-move-destinations.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RITTHYH.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IITTHYH.json,1,591,2026-09-17T20:03:26.6120000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-precommit-audit.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RUFLBRT.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IUFLBRT.json,1,96,2026-09-17T20:03:26.9710000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-stage.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R2753XT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I2753XT.log,1,0,2026-09-17T20:03:27.3440000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-staged-check.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RN55ZYU.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IN55ZYU.txt,1,271,2026-09-17T20:03:27.7160000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-staged-files.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RQQVHBC.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IQQVHBC.txt,1,187881,2026-09-17T20:03:28.0740000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-staged-size.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1RVMT6.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1RVMT6.txt,1,194859,2026-09-17T20:03:28.4770000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-usn-errors.txt,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R4SFOZZ.txt,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I4SFOZZ.txt,1,0,2026-09-17T20:03:28.8080000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cleanup-usn-journal.csv,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVCDX2Q.csv,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVCDX2Q.csv,1,28,2026-09-17T20:03:29.1020000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\competition-plan,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RM7N2Z5,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IM7N2Z5,4,38609,2026-09-17T20:03:29.4490000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cover,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RL8CLPK,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IL8CLPK,0,0,2026-09-17T20:03:30.3750000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\cover-export.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RF1UI6F.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IF1UI6F.log,1,1124,2026-09-17T20:03:31.3990000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\craft-pixel-ui,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R24A8TW,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I24A8TW,31,23183877,2026-09-17T20:03:31.8960000Z,SHA-256全部一致
